Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Составная разбивка,Units,Value
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,5
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,11
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,10
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,14
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,1
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,2
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,6
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,20
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,21
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,1
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,1
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,3
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,1
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,1
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не владеют языком ,Число,0
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина:  состоит в браке, беременна, стали родителями (матерью, отцом)",Число,4
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина:  состоит в браке, беременна, стали родителями (матерью, отцом)",Число,3
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина:  состоит в браке, беременна, стали родителями (матерью, отцом)",Число,0
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,39
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,144
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,94
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,40
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,66
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,74
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,115
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,88
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,380
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,75
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,60
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,204
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,199
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  работают,Число,121
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  отсутствие транспорта (школа расположена далеко от дома),Число,2
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,4
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,7
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,79
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,1
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,4
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,4
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,2
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,1
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  не соответствие возраста данному классу,Число,18
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,196
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,213
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,219
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,99
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,195
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,260
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,233
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,213
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,45
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,60
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,14
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,36
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,20
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по болезни,Число,31
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,658
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,585
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,535
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,349
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,391
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,393
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,515
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,410
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,531
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,554
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,564
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,542
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,517
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  дети с ограниченными возможностями здоровья,Число,525
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,64
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,108
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,111
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,67
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,111
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,154
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,133
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Женщины,от 7 до 17 лет,Причина:  по другим причинам,Число,158
