Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Онкологические заболевания,На 100 000 населения,65.3
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,6.9
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,6.8
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,6.2
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,5.7
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,5.8
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,5.3
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,6.9
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,7.2
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,6.0
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,6.7
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,6.8
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Киргизия,Неинфекционные заболевания: Диабет,На 100 000 населения,7.3
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.1
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.7
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.6
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.1
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.5
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.5
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.9
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.2
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.0
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.1
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Баткенская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.4
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.6
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,9.1
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.4
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.7
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.9
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.6
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,9.6
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,10.6
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,9.0
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.6
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.8
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Диабет,На 100 000 населения,10.4
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,10.4
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.2
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.2
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.9
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.4
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,9.0
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.9
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.2
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.0
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,10.4
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Диабет,На 100 000 населения,13.2
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.4
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.9
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.6
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.2
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.1
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.8
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.7
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.0
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.7
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.0
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.9
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.4
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.5
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.6
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.2
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.7
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.7
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.8
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.1
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.7
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.5
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.1
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.6
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.6
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.6
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,10.1
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.2
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.0
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.2
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.2
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.9
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,0.8
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,2.8
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.5
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Диабет,На 100 000 населения,3.1
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.7
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.9
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,5.7
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.2
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,4.8
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.9
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,9.5
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.4
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,8.6
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,6.6
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Диабет,На 100 000 населения,7.2
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,4.0
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,5.2
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,4.6
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,4.0
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,4.0
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,4.0
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,4.9
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,3.8
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,3.2
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,5.0
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,4.3
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Диабет,На 100 000 населения,3.4
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Диабет,На 100 000 населения,9.4
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Диабет,На 100 000 населения,11.7
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Диабет,На 100 000 населения,5.8
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Диабет,На 100 000 населения,6.2
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Диабет,На 100 000 населения,8.6
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Диабет,На 100 000 населения,5.4
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Ош,Неинфекционные заболевания: Диабет,На 100 000 населения,13.3
